Synonyms	Symbol	Chromosome
GSNOR	ADH5	4
HEL-S-60p	ADH5	4
ADH6	ADH6	4
ADH-5	ADH6	4
ADH7	ADH7	4
ADH4	ADH7	4
ADK	ADK	10
AK	ADK	10
ADM	ADM	11
AM	ADM	11
PAMP	ADM	11
ADORA1	ADORA1	1
RDC7	ADORA1	1
ADORA2A	ADORA2A	22
A2aR	ADORA2A	22
ADORA2	ADORA2A	22
RDC8	ADORA2A	22
ADORA2B	ADORA2B	17
ADORA2	ADORA2B	17
ADORA2BP1	ADORA2BP1	1
ADORA2BP	ADORA2BP1	1
ADORA3	ADORA3	1
A3AR	ADORA3	1
ADPRH	ADPRH	3
ARH1	ADPRH	3
PARP1	PARP1	1
ADPRT	PARP1	1
ADPRT 1	PARP1	1
ADPRT1	PARP1	1
ARTD1	PARP1	1
PARP	PARP1	1
PARP-1	PARP1	1
PPOL	PARP1	1
pADPRT-1	PARP1	1
PARP4	PARP4	13
ADPRTL1	PARP4	13
ARTD4	PARP4	13
PARP-4	PARP4	13
PARPL	PARP4	13
PH5P	PARP4	13
VAULT3	PARP4	13
VPARP	PARP4	13
VWA5C	PARP4	13
p193	PARP4	13
PARP1P1	PARP1P1	13
ADPRTP1	PARP1P1	13
PPOLP1	PARP1P1	13
PARP1P2	PARP1P2	14
ADPRTP2	PARP1P2	14
PPOLP2	PARP1P2	14
ADRA1D	ADRA1D	20
ADRA1	ADRA1D	20
ADRA1A	ADRA1D	20
ADRA1R	ADRA1D	20
ALPHA1	ADRA1D	20
DAR	ADRA1D	20
dJ779E11.2	ADRA1D	20
ADRA1B	ADRA1B	5
ADRA1	ADRA1B	5
ALPHA1BAR	ADRA1B	5
ADRA1A	ADRA1A	8
ADRA1C	ADRA1A	8
ADRA1L1	ADRA1A	8
ALPHA1AAR	ADRA1A	8
ADRA2A	ADRA2A	10
ADRA2	ADRA2A	10
ADRA2R	ADRA2A	10
ADRAR	ADRA2A	10
ALPHA2AAR	ADRA2A	10
ZNF32	ADRA2A	10
ADRA2B	ADRA2B	2
ADRA2L1	ADRA2B	2
ADRA2RL1	ADRA2B	2
ADRARL1	ADRA2B	2
ALPHA2BAR	ADRA2B	2
FAME2	ADRA2B	2
alpha-2BAR	ADRA2B	2
ADRA2C	ADRA2C	4
ADRA2L2	ADRA2C	4
ADRA2RL2	ADRA2C	4
ADRARL2	ADRA2C	4
ALPHA2CAR	ADRA2C	4
ADRB1	ADRB1	10
ADRB1R	ADRB1	10
B1AR	ADRB1	10
BETA1AR	ADRB1	10
RHR	ADRB1	10
ADRB2	ADRB2	5
ADRB2R	ADRB2	5
ADRBR	ADRB2	5
B2AR	ADRB2	5
BAR	ADRB2	5
BETA2AR	ADRB2	5
ADRB3	ADRB3	8
BETA3AR	ADRB3	8
GRK2	GRK2	11
ADRBK1	GRK2	11
BARK1	GRK2	11
BETA-ARK1	GRK2	11
GRK3	GRK3	22
ADRBK2	GRK3	22
BARK2	GRK3	22
ADSL	ADSL	22
AMPS	ADSL	22
ASASE	ADSL	22
ASL	ADSL	22
ADSS	ADSS	1
ADEH	ADSS	1
ADSS 2	ADSS	1
AP2A1	AP2A1	19
ADTAA	AP2A1	19
AP2-ALPHA	AP2A1	19
CLAPA1	AP2A1	19
AP2A2	AP2A2	11
ADTAB	AP2A2	11
CLAPA2	AP2A2	11
HIP-9	AP2A2	11
HIP9	AP2A2	11
HYPJ	AP2A2	11
AP1B1	AP1B1	22
ADTB1	AP1B1	22
AP105A	AP1B1	22
BAM22	AP1B1	22
CLAPB2	AP1B1	22
AP2B1	AP2B1	17
ADTB2	AP2B1	17
AP105B	AP2B1	17
AP2-BETA	AP2B1	17
CLAPB1	AP2B1	17
AP1G1	AP1G1	16
ADTG	AP1G1	16
CLAPG1	AP1G1	16
AEBP1	AEBP1	7
ACLP	AEBP1	7
AES	AES	19
AES-1	AES	19
AES-2	AES	19
ESP1	AES	19
GRG	AES	19
GRG5	AES	19
Grg-5	AES	19
TLE5	AES	19
CRISP1	CRISP1	6
AEGL1	CRISP1	6
ARP	CRISP1	6
CRISP-1	CRISP1	6
HEL-S-57	CRISP1	6
HSCRISP1D	CRISP1	6
HSCRISP1G	CRISP1	6
HUMARP	CRISP1	6
AF8T	AF8T	3
-	AF8T	3
AFA	AFA	-
-	AFA	-
AFD1	AFD1	9
AFDN	AFD1	9
AFG3L1P	AFG3L1P	16
AFG3	AFG3L1P	16
AFG3L1	AFG3L1P	16
AFM	AFM	4
ALB2	AFM	4
ALBA	AFM	4
ALF	AFM	4
AFP	AFP	4
AFPD	AFP	4
FETA	AFP	4
HPAFP	AFP	4
AGA	AGA	4
AGU	AGA	4
ASRG	AGA	4
GA	AGA	4
ACAN	ACAN	15
AGC1	ACAN	15
AGCAN	ACAN	15
CSPG1	ACAN	15
CSPGCP	ACAN	15
MSK16	ACAN	15
SEDK	ACAN	15
AGER	AGER	6
RAGE	AGER	6
SCARJ1	AGER	6
AGL	AGL	1
GDE	AGL	1
AGMX2	AGMX2	X
IMD6	AGMX2	X
XLA2	AGMX2	X
AGRP	AGRP	16
AGRT	AGRP	16
ART	AGRP	16
ASIP2	AGRP	16
JAG1	JAG1	20
AGS	JAG1	20
AGS1	JAG1	20
AHD	JAG1	20
AWS	JAG1	20
CD339	JAG1	20
HJ1	JAG1	20
JAGL1	JAG1	20
AGT	AGT	1
ANHU	AGT	1
SERPINA8	AGT	1
AGTR1	AGTR1	3
AG2S	AGTR1	3
AGTR1B	AGTR1	3
AT1	AGTR1	3
AT1AR	AGTR1	3
AT1B	AGTR1	3
AT1BR	AGTR1	3
AT1R	AGTR1	3
AT2R1	AGTR1	3
HAT1R	AGTR1	3
AGTR2	AGTR2	X
AT2	AGTR2	X
ATGR2	AGTR2	X
MRX88	AGTR2	X
APLNR	APLNR	11
AGTRL1	APLNR	11
APJ	APLNR	11
APJR	APLNR	11
HG11	APLNR	11
AGXT	AGXT	2
AGT	AGXT	2
AGT1	AGXT	2
AGXT1	AGXT	2
PH1	AGXT	2
SPAT	AGXT	2
SPT	AGXT	2
TLH6	AGXT	2
NR0B1	NR0B1	X
AHC	NR0B1	X
AHCH	NR0B1	X
AHX	NR0B1	X
DAX-1	NR0B1	X
DAX1	NR0B1	X
DSS	NR0B1	X
GTD	NR0B1	X
HHG	NR0B1	X
NROB1	NR0B1	X
SRXY2	NR0B1	X
AHCY	AHCY	20
SAHH	AHCY	20
adoHcyase	AHCY	20
AIC	AIC	X
-	AIC	X
AHR	AHR	7
bHLHe76	AHR	7
AHSG	AHSG	3
A2HS	AHSG	3
AHS	AHSG	3
FETUA	AHSG	3
HSGA	AHSG	3
AIF1	AIF1	6
AIF-1	AIF1	6
IBA1	AIF1	6
IRT-1	AIF1	6
IRT1	AIF1	6
AIH3	AIH3	X
-	AIH3	X
AIM1	AIM1	6
CRYBG1	AIM1	6
ST4	AIM1	6
AK1	AK1	9
HTL-S-58j	AK1	9
AK2	AK2	1
ADK2	AK2	1
AK4	AK4	1
AK 4	AK4	1
AK3	AK4	1
AK3L1	AK4	1
AK3L2	AK4	1
AK4P1	AK4P1	17
AK3P1	AK4P1	17
AKT1	AKT1	14
AKT	AKT1	14
CWS6	AKT1	14
PKB	AKT1	14
PKB-ALPHA	AKT1	14
PRKBA	AKT1	14
RAC	AKT1	14
RAC-ALPHA	AKT1	14
